Sampling_date	Sampling_time	Sampling_datetime	Day	Media	Condition	replicate	Measurement_type	Wavelength	Row	Column	Measurement	Filename	t (h)	Content	Measurement_blank_average	Measurement_fixed
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	H	2	0.1216999962925911	day1_b+c_5.xlsx	22.0	ICL_186B	0.12025357170828752	0.0014464245843035795
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	A	3	0.29190000891685486	day1_b+c_5.xlsx	22.0	ICL_202B	0.12025357170828752	0.17164643720856734
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	B	3	0.1290999948978424	day1_b+c_5.xlsx	22.0	ICL_101	0.12025357170828752	0.008846423189554892
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	C	3	0.14790000021457672	day1_b+c_5.xlsx	22.0	ICL_114B	0.12025357170828752	0.027646428506289206
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	D	3	0.33959999680519104	day1_b+c_5.xlsx	22.0	ICL_170	0.12025357170828752	0.21934642509690352
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	E	3	0.31470000743865967	day1_b+c_5.xlsx	22.0	ICL_202B	0.12025357170828752	0.19444643573037215
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	F	3	0.11699999868869781	day1_b+c_5.xlsx	22.0	ICL_101	0.12025357170828752	-0.0032535730195897006
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	G	3	0.17419999837875366	day1_b+c_5.xlsx	22.0	ICL_114B	0.12025357170828752	0.05394642667046615
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	H	3	0.3725999891757965	day1_b+c_5.xlsx	22.0	ICL_170	0.12025357170828752	0.25234641746750897
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	A	4	0.28619998693466187	day1_b+c_5.xlsx	22.0	ICL_202C	0.12025357170828752	0.16594641522637435
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	B	4	0.11330000311136246	day1_b+c_5.xlsx	22.0	ICL_139A	0.12025357170828752	-0.006953568596925058
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	C	4	0.12189999967813492	day1_b+c_5.xlsx	22.0	ICL_208B	0.12025357170828752	0.0016464279698474027
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	D	4	0.3118000030517578	day1_b+c_5.xlsx	22.0	ICL_179A	0.12025357170828752	0.1915464313434703
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	E	4	0.3000999987125397	day1_b+c_5.xlsx	22.0	ICL_202C	0.12025357170828752	0.17984642700425216
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	F	4	0.13210000097751617	day1_b+c_5.xlsx	22.0	ICL_139A	0.12025357170828752	0.011846429269228659
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	G	4	0.10660000145435333	day1_b+c_5.xlsx	22.0	ICL_208B	0.12025357170828752	-0.013653570253934183
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	H	4	0.3546999990940094	day1_b+c_5.xlsx	22.0	ICL_179A	0.12025357170828752	0.23444642738572188
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	A	5	0.21549999713897705	day1_b+c_5.xlsx	22.0	ICL_131	0.12025357170828752	0.09524642543068954
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	B	5	0.10779999941587448	day1_b+c_5.xlsx	22.0	ICL_103	0.12025357170828752	-0.012453572292413034
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	C	5	0.12759999930858612	day1_b+c_5.xlsx	22.0	ICL_117	0.12025357170828752	0.007346427600298605
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	D	5	0.12520000338554382	day1_b+c_5.xlsx	22.0	ICL_179B	0.12025357170828752	0.004946431677256308
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	E	5	0.2363000065088272	day1_b+c_5.xlsx	22.0	ICL_131	0.12025357170828752	0.1160464348005397
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	F	5	0.11349999904632568	day1_b+c_5.xlsx	22.0	ICL_103	0.12025357170828752	-0.006753572661961832
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	G	5	0.12720000743865967	day1_b+c_5.xlsx	22.0	ICL_117	0.12025357170828752	0.0069464357303721525
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	H	5	0.11699999868869781	day1_b+c_5.xlsx	22.0	ICL_179B	0.12025357170828752	-0.0032535730195897006
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	A	6	0.34599998593330383	day1_b+c_5.xlsx	22.0	ICL_116	0.12025357170828752	0.22574641422501632
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	B	6	0.12479999661445618	day1_b+c_5.xlsx	22.0	ICL_160	0.12025357170828752	0.004546424906168661
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	C	6	0.1256999969482422	day1_b+c_5.xlsx	22.0	ICL_132	0.12025357170828752	0.005446425239954672
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	D	6	0.12759999930858612	day1_b+c_5.xlsx	22.0	Chlamy	0.12025357170828752	0.007346427600298605
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	E	6	0.2994000017642975	day1_b+c_5.xlsx	22.0	ICL_116	0.12025357170828752	0.17914643005600997
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	F	6	0.11349999904632568	day1_b+c_5.xlsx	22.0	ICL_160	0.12025357170828752	-0.006753572661961832
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	G	6	0.11249999701976776	day1_b+c_5.xlsx	22.0	ICL_132	0.12025357170828752	-0.007753574688519754
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	H	6	0.11100000143051147	day1_b+c_5.xlsx	22.0	Chlamy	0.12025357170828752	-0.009253570277776041
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	A	7	0.2822999954223633	day1_b+c_5.xlsx	22.0	ICL_112	0.12025357170828752	0.16204642371407577
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	B	7	0.267300009727478	day1_b+c_5.xlsx	22.0	ICL_129A	0.12025357170828752	0.1470464380191905
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	C	7	0.26510000228881836	day1_b+c_5.xlsx	22.0	ICL_48	0.12025357170828752	0.14484643058053084
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	D	7	0.11869999766349792	day1_b+c_5.xlsx	22.0	Chlamy	0.12025357170828752	-0.0015535740447895907
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	E	7	0.2597000002861023	day1_b+c_5.xlsx	22.0	ICL_112	0.12025357170828752	0.13944642857781478
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	F	7	0.2687000036239624	day1_b+c_5.xlsx	22.0	ICL_129A	0.12025357170828752	0.1484464319156749
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	G	7	0.26100000739097595	day1_b+c_5.xlsx	22.0	ICL_48	0.12025357170828752	0.14074643568268844
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	H	7	0.11320000141859055	day1_b+c_5.xlsx	22.0	Chlamy	0.12025357170828752	-0.00705357028969697
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	A	8	0.11860000342130661	day1_b+c_5.xlsx	22.0	ICL_163	0.12025357170828752	-0.0016535682869809054
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	B	8	0.11190000176429749	day1_b+c_5.xlsx	22.0	ICL_129B	0.12025357170828752	-0.00835356994399003
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	C	8	0.25929999351501465	day1_b+c_5.xlsx	22.0	ICL_201	0.12025357170828752	0.13904642180672713
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	D	8	0.12620000541210175	day1_b+c_5.xlsx	22.0	Chlamy	0.12025357170828752	0.00594643370381423
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	E	8	0.1251000016927719	day1_b+c_5.xlsx	22.0	ICL_163	0.12025357170828752	0.004846429984484396
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	F	8	0.11190000176429749	day1_b+c_5.xlsx	22.0	ICL_129B	0.12025357170828752	-0.00835356994399003
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	G	8	0.26600000262260437	day1_b+c_5.xlsx	22.0	ICL_201	0.12025357170828752	0.14574643091431685
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	H	8	0.11909999698400497	day1_b+c_5.xlsx	22.0	Chlamy	0.12025357170828752	-0.0011535747242825412
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	A	9	0.11550000309944153	day1_b+c_5.xlsx	22.0	ICL_24	0.12025357170828752	-0.004753568608845987
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	B	9	0.12309999763965607	day1_b+c_5.xlsx	22.0	ICL_133	0.12025357170828752	0.0028464259313685514
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	C	9	0.259799987077713	day1_b+c_5.xlsx	22.0	ICL_172	0.12025357170828752	0.1395464153694255
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	D	9	0.11150000244379044	day1_b+c_5.xlsx	22.0	Chlamy	0.12025357170828752	-0.00875356926449708
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	E	9	0.13259999454021454	day1_b+c_5.xlsx	22.0	ICL_24	0.12025357170828752	0.012346422831927023
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	F	9	0.11829999834299088	day1_b+c_5.xlsx	22.0	ICL_133	0.12025357170828752	-0.0019535733652966403
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	G	9	0.2718000113964081	day1_b+c_5.xlsx	22.0	ICL_172	0.12025357170828752	0.15154643968812057
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	H	9	0.11230000108480453	day1_b+c_5.xlsx	22.0	Chlamy	0.12025357170828752	-0.00795357062348298
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	A	10	0.13179999589920044	day1_b+c_5.xlsx	22.0	ICL_118B	0.12025357170828752	0.011546424190912924
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	B	10	0.1242000013589859	day1_b+c_5.xlsx	22.0	ICL_20BA	0.12025357170828752	0.003946429650698385
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	C	10	0.25929999351501465	day1_b+c_5.xlsx	22.0	ICL_184BA	0.12025357170828752	0.13904642180672713
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	D	10	0.11219999939203262	day1_b+c_5.xlsx	22.0	Chlamy	0.12025357170828752	-0.008053572316254892
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	E	10	0.12120000272989273	day1_b+c_5.xlsx	22.0	ICL_118B	0.12025357170828752	0.0009464310216052152
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	F	10	0.11410000175237656	day1_b+c_5.xlsx	22.0	ICL_20BA	0.12025357170828752	-0.006153569955910959
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	G	10	0.2689000070095062	day1_b+c_5.xlsx	22.0	ICL_184BA	0.12025357170828752	0.1486464353012187
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	H	10	0.11749999970197678	day1_b+c_5.xlsx	22.0	Chlamy	0.12025357170828752	-0.0027535720063107394
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	A	11	0.1145000010728836	day1_b+c_5.xlsx	22.0	ICL_100	0.12025357170828752	-0.0057535706354039096
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	B	11	0.13529999554157257	day1_b+c_5.xlsx	22.0	ICL_20BB	0.12025357170828752	0.015046423833285055
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	C	11	0.27459999918937683	day1_b+c_5.xlsx	22.0	ICL_184BB	0.12025357170828752	0.15434642748108932
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	D	11	0.120899997651577	day1_b+c_5.xlsx	22.0	Chlamy	0.12025357170828752	0.0006464259432894803
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	E	11	0.12610000371932983	day1_b+c_5.xlsx	22.0	ICL_100	0.12025357170828752	0.0058464320110423185
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	F	11	0.12759999930858612	day1_b+c_5.xlsx	22.0	ICL_20BB	0.12025357170828752	0.007346427600298605
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	G	11	0.27730000019073486	day1_b+c_5.xlsx	22.0	ICL_184BB	0.12025357170828752	0.15704642848244735
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	H	11	0.120899997651577	day1_b+c_5.xlsx	22.0	Chlamy	0.12025357170828752	0.0006464259432894803
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	A	12	0.12309999763965607	day1_b+c_5.xlsx	22.0	ICL_108	0.12025357170828752	0.0028464259313685514
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	B	12	0.11219999939203262	day1_b+c_5.xlsx	22.0	ICL_60	0.12025357170828752	-0.008053572316254892
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	C	12	0.16519999504089355	day1_b+c_5.xlsx	22.0	ICL_193	0.12025357170828752	0.04494642333260604
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	D	12	0.12039999663829803	day1_b+c_5.xlsx	22.0	Chlamy	0.12025357170828752	0.00014642493001051915
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	E	12	0.12110000103712082	day1_b+c_5.xlsx	22.0	ICL_108	0.12025357170828752	0.0008464293288333036
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	F	12	0.13079999387264252	day1_b+c_5.xlsx	22.0	ICL_60	0.12025357170828752	0.010546422164355002
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	G	12	0.16539999842643738	day1_b+c_5.xlsx	22.0	ICL_193	0.12025357170828752	0.04514642671814986
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Absorbance	750_nm	H	12	0.12319999933242798	day1_b+c_5.xlsx	22.0	Chlamy	0.12025357170828752	0.002946427624140463
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	A	1	512.0	day1_b+c_5.xlsx	22.0	ICL_162	0.0	512.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	B	1	688.0	day1_b+c_5.xlsx	22.0	ICL_115	0.0	688.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	C	1	286.0	day1_b+c_5.xlsx	22.0	ICL_144	0.0	286.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	D	1	482.0	day1_b+c_5.xlsx	22.0	ICL_186A	0.0	482.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	E	1	503.0	day1_b+c_5.xlsx	22.0	ICL_162	0.0	503.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	F	1	533.0	day1_b+c_5.xlsx	22.0	ICL_115	0.0	533.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	G	1	245.0	day1_b+c_5.xlsx	22.0	ICL_144	0.0	245.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	H	1	668.0	day1_b+c_5.xlsx	22.0	ICL_186A	0.0	668.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	A	2	710.0	day1_b+c_5.xlsx	22.0	ICL_202A	0.0	710.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	B	2	404.0	day1_b+c_5.xlsx	22.0	ICL_199	0.0	404.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	C	2	502.0	day1_b+c_5.xlsx	22.0	ICL_41	0.0	502.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	D	2	514.0	day1_b+c_5.xlsx	22.0	ICL_186B	0.0	514.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	E	2	706.0	day1_b+c_5.xlsx	22.0	ICL_202A	0.0	706.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	F	2	1116.0	day1_b+c_5.xlsx	22.0	ICL_199	0.0	1116.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	G	2	1241.0	day1_b+c_5.xlsx	22.0	ICL_41	0.0	1241.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	H	2	139.0	day1_b+c_5.xlsx	22.0	ICL_186B	0.0	139.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	A	3	635.0	day1_b+c_5.xlsx	22.0	ICL_202B	0.0	635.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	B	3	540.0	day1_b+c_5.xlsx	22.0	ICL_101	0.0	540.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	C	3	406.0	day1_b+c_5.xlsx	22.0	ICL_114B	0.0	406.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	D	3	443.0	day1_b+c_5.xlsx	22.0	ICL_170	0.0	443.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	E	3	591.0	day1_b+c_5.xlsx	22.0	ICL_202B	0.0	591.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	F	3	679.0	day1_b+c_5.xlsx	22.0	ICL_101	0.0	679.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	G	3	1257.0	day1_b+c_5.xlsx	22.0	ICL_114B	0.0	1257.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	H	3	595.0	day1_b+c_5.xlsx	22.0	ICL_170	0.0	595.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	A	4	580.0	day1_b+c_5.xlsx	22.0	ICL_202C	0.0	580.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	B	4	352.0	day1_b+c_5.xlsx	22.0	ICL_139A	0.0	352.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	C	4	240.0	day1_b+c_5.xlsx	22.0	ICL_208B	0.0	240.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	D	4	411.0	day1_b+c_5.xlsx	22.0	ICL_179A	0.0	411.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	E	4	694.0	day1_b+c_5.xlsx	22.0	ICL_202C	0.0	694.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	F	4	479.0	day1_b+c_5.xlsx	22.0	ICL_139A	0.0	479.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	G	4	277.0	day1_b+c_5.xlsx	22.0	ICL_208B	0.0	277.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	H	4	422.0	day1_b+c_5.xlsx	22.0	ICL_179A	0.0	422.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	A	5	703.0	day1_b+c_5.xlsx	22.0	ICL_131	0.0	703.0
16.02.2019	14:19:58	2019-02-16 14:19:58	day1	tp	b+c	5	Fluorescence Bottom Reading	Ex:440_nm/Em:680_nm	B	5	61.0	day1_b+c_5.xlsx	22.0	ICL_103	0.0	61.0
