alsphere_ID,terpene,other,bacteriocin,siderophore,arylpolyene,nrps,hserlactone,phenazine,t3pks,phosphonate,arylpolyene-ladderane,t1pks-nrps,ladderane,lantipeptide,microviridin,arylpolyene-resorcinol,t1pks-otherks,arylpolyene-nrps,lassopeptide,resorcinol,acyl_amino_acids-siderophore,t1pks,thiopeptide,terpene-nrps,siderophore-nrps,ectoine,butyrolactone,otherks,sactipeptide-head_to_tail,lantipeptide-t1pks-nrps
Chlamy120,3.0,1.0,1.0,1.0,,7.0,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
Chlamy94,3.0,1.0,1.0,1.0,,7.0,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
Chlamy117,3.0,1.0,1.0,1.0,,7.0,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
Chlamy137,3.0,1.0,1.0,1.0,,7.0,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
Chlamy193,3.0,1.0,1.0,1.0,,7.0,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
Chlamy103,3.0,1.0,1.0,1.0,,7.0,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
Chlamy129,3.0,1.0,1.0,1.0,,7.0,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
Chlamy97,3.0,1.0,1.0,1.0,,7.0,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
Chlamy45,3.0,1.0,1.0,1.0,,7.0,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
Chlamy122,3.0,1.0,1.0,1.0,,7.0,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
Chlamy59,3.0,1.0,1.0,1.0,,7.0,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
Chlamy189,3.0,1.0,1.0,1.0,,7.0,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
Chlamy64,3.0,1.0,1.0,1.0,,7.0,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
Chlamy131,3.0,1.0,1.0,1.0,,7.0,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
Chlamy166,3.0,1.0,1.0,1.0,,7.0,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
Chlamy124,3.0,1.0,1.0,1.0,,7.0,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
Chlamy82,3.0,1.0,1.0,1.0,,7.0,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
Chlamy143,3.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,2.0,1.0,,,,,,,,,,
Chlamy16,6.0,3.0,1.0,2.0,1.0,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,
Chlamy132,4.0,2.0,,2.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,
Chlamy99,6.0,3.0,1.0,2.0,1.0,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,
Chlamy17,6.0,3.0,1.0,2.0,1.0,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,
Chlamy188,6.0,3.0,1.0,2.0,1.0,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,
Chlamy98,6.0,3.0,1.0,2.0,1.0,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,
Chlamy18,6.0,3.0,1.0,2.0,1.0,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,
Chlamy72,1.0,2.0,1.0,1.0,1.0,2.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,
Chlamy41,6.0,1.0,,1.0,2.0,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,
Chlamy40,6.0,1.0,,1.0,2.0,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,
Chlamy73,1.0,2.0,1.0,1.0,1.0,2.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,
Chlamy101,6.0,2.0,2.0,2.0,2.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Chlamy87,7.0,3.0,1.0,2.0,2.0,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,
Chlamy100,6.0,2.0,2.0,2.0,2.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Chlamy63,3.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Chlamy38,3.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Chlamy21,3.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Chlamy105,3.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Chlam57,3.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Chlamy66,3.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Chlamy35,3.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Chlamy13,1.0,1.0,,,1.0,3.0,,,,,,2.0,,,,1.0,,,,1.0,,,,,,,,,,
Chlamy114,3.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Chlamy19,3.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Chlamy56,3.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Chlamy210,3.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Chlamy25,5.0,3.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
Chlamy67,3.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Chlamy141,2.0,1.0,4.0,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,
Chlamy68,3.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Chlamy76,3.0,4.0,1.0,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,
Chlamy33,2.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,
Chlamy20,3.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Chlamy110,3.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Chlamy95,3.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Chlamy92,3.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Chlamy176,1.0,1.0,3.0,1.0,,5.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0
Chlamy65,3.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Chlamy104,3.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Chlamy183,3.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Chlamy109,3.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Chlamy62,3.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Chlamy190,3.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Chlamy96,3.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Chlamy37,3.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Chlamy36,3.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Chlamy84,3.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Chlamy111,5.0,2.0,1.0,,1.0,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
Chlamy170,2.0,1.0,2.0,,,1.0,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,
Chlamy90,,1.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,
Chlamy160,3.0,3.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,
Chlamy102,,1.0,4.0,,1.0,4.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,
Chlamy108,,1.0,3.0,,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,
Chlamy42,2.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,
Chlamy9,2.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,
Chlamy172,2.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,
Chlamy107,,1.0,3.0,,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,
Chlamy146,1.0,,2.0,,,1.0,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,
Chlamy161,2.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,
Chlamy113,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,
Chlamy115,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,
Chlamy195,,1.0,,,,8.0,,,1.0,,,,,,,,,,2.0,1.0,,,,,,,,,,
Chlamy49,1.0,,2.0,,,1.0,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,
Chlamy8,2.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,
Chlamy75,1.0,,2.0,,,1.0,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,
Chlamy11,2.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,
Chlamy23,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,
Chlamy187,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Chlamy70,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,
Chlamy181,2.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,
Chlamy147,1.0,,2.0,,,1.0,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,
Chlamy179,2.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,
Chlamy86,2.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,
Chlamy198,1.0,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
Chlamy28,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
Chlamy202,1.0,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
Chlamy69,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Chlamy48,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
Chlamy201,1.0,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
Chlamy134,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
Chlamy46,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
Chlamy165,,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Chlamy31,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
Chlamy58,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
Chlamy55,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
Chlamy127,2.0,2.0,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,
Chlamy208,1.0,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
Chlamy182,2.0,1.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
Chlamy34,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
Chlamy51,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
Chlamy6,1.0,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
Chlamy29,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
Chlamy12,1.0,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
Chlamy136,2.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Chlamy54,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
Chlamy126,2.0,2.0,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,
Chlamy88,3.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Chlamy135,2.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Chlamy207,1.0,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
Chlamy44,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Chlamy173,1.0,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
Chlamy209,1.0,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
Chlamy26,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Chlamy119,3.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Chlamy53,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
Chlamy177,1.0,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
Chlam89,3.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Chlamy125,,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Chlamy81,1.0,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
Chlamy194,1.0,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
Chlamy30,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
Chlamy47,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
Chlamy128,2.0,2.0,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,
Chlamy43,2.0,1.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
Chlamy50,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
Chlamy32,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
Chlamy200,1.0,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
Chlamy196,1.0,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
Chlamy206,1.0,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
Chlamy178,1.0,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
Chlamy79,2.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Chlamy211,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Chlamy174,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Chlamy139,2.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Chlamy152,2.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Chlamy71,,,1.0,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
Chlamy167,,,,,,,,,1.0,,,,,,,,,,2.0,1.0,,,,,,,,,,
Chlamy52,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Chlamy192,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Chlamy157,,,,,,,,,1.0,,,,,,,,,,2.0,1.0,,,,,,,,,,
Chlamy39,,,1.0,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
Chlamy145,,,,,,,,,1.0,,,,,,,,,,2.0,1.0,,,,,,,,,,
Chlamy144,2.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Chlamy78,2.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Chlamy153,2.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Chlamy80,,,,,,,,,1.0,,,,,,,,,,2.0,1.0,,,,,,,,,,
Chlamy159,,,,,,,,,1.0,,,,,,,,,,2.0,1.0,,,,,,,,,,
Chlamy77,2.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Chlamy93,,,1.0,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
Chlamy154,2.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Chlamy123,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Chlamy140,,,,,,,,,2.0,,,,,,,,,,3.0,1.0,,,,,,,,,,
Chlamy133,,,,,,,,,1.0,,,,,,,,,,2.0,1.0,,,,,,,,,,
Chlamy175,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Chlamy91,,,1.0,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
Chlamy162,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Chlamy142,,,,,,,,,1.0,,,,,,,,,,2.0,1.0,,,,,,,,,,
Chlamy169,,,,,,,,,1.0,,,,,,,,,,2.0,1.0,,,,,,,,,,
Chlamy149,2.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Chlamy74,,,,,,,,,1.0,,,,,,,,,,2.0,1.0,,,,,,,,,,
Chlamy151,2.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Chlamy156,2.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Chlamy205,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Chlamy150,,,,,,,,,1.0,,,,,,,,,,2.0,1.0,,,,,,,,,,
Chlamy24,,,1.0,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
Chlamy138,,,,,,,,,1.0,,,,,,,,,,2.0,1.0,,,,,,,,,,
Chlamy130,,,1.0,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
Chlamy155,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Chlamy7,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Chlamy164,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Chlamy171,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Chlamy199,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Chlamy180,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
